"Assignment Fulfillment Entity 1","Assignment Fulfillment Entity 2","Role Demand type","Career Track","Location Radius","Source Location","Project Metro City","Project Supervising Entity","Sold","Client Contract Based","Assignment Title","Description","Requested Start Date","End Date","Status","Career Level From","Career Level To","Talent Segment","Assigned Role","Assignment Primary Specialization Level 1","Assignment Primary Specialization Level 2","Assignment Primary Specialization Level 3","Assignment Primary Specialization Level 4","Skill & Proficiency","Candidates"
"Other "," GM Consulting Analyst Program ","New","Client & Market","In Country","Perth","Perth","Resources ","Yes","No","Business Analyst 01","Analyze an organization and design its processes and systems, assessing the business model and its integration with technology. Assess current state, identify customer requirements, and define the future state and/or business solution. Research, gather and synthesize information.","2020-02-17T00:00","2020-04-30T00:00","Open - Need Project Feedback","11","11","Business & Technology Integration       ","Business Analyst","Technology","Technology Specialization L2","Complex Program Del","Complex Program Delivery"," 1 - Business Model Strategy                                                         (P1 - Beginner) | 2 - Business Process Design                                                         (P1 - Beginner) | 3 - Business Process Implementation                                                 (P1 - Beginner) | 4 - Requirements Analysis                                                           (P1 - Beginner)",1
"Accenture Technology "," Technology Geographic Unit ","New","Client & Market","Any Location Globally","Riyadh","Riyadh","Financial Services ","Yes","No",".Net and Azure developer","Design, build and configure applications to meet business process and application requirements.
	Build Delivery Micro-Service for (Push/Email/SMS) to deliver a large number of notifications using patterns: asynchronous, AutoFac for DI and unit of work with EF as data access layer. 
	Design and develop Hybrid-Single Page Applications using C#, .NET Framework Core 3 and Angular 7. Using AAD authentication, Generating Reports Using crystal report.
Skills: C#.Net, Asp.Net MVC API, SQL Server, jQuery, Ajax, bootstrap, CSS and Azure.","2020-04-01T00:00","2021-03-31T00:00","Open - New","11","11","Software Engineering                    ","Application Developer","Technology","Technology Specialization L2","Architecture","Development & Operations Architectures"," 1 - ASP.NET MVC                                                                     (P3 - Advanced) | 2 - Asynchronous JavaScript and XML (AJAX)                                          (P3 - Advanced) | 3 - C# Programming Language                                                         (P3 - Advanced) | 4 - Microsoft SQL Server                                                            (P3 - Advanced)",0
"Capability Network "," Cap Ntwk Local Practices ","New","Client & Market","Any Location Globally","Perth","Perth","Resources ","Yes","No","Training & Performance Support Developer","Support the development of training materials to Spanish and business engagement activities","2020-03-16T00:00","2020-05-01T00:00","Open - Need Project Feedback","11","11","Management Consulting                   ","Training & Performance Support Developer","Function","No Function Category","No Function Specialization",," 1 - Learning Content Development                                                    (P2 - Intermediate)",1
"Other "," GM Consulting Analyst Program ","New","Client & Market","In Country","Sydney","Sydney","Other ","Yes","No","Sourcing Analyst","Develop, train and manage the team of sourcing team members. Maximize resource utilization to ensure optimal productivity and margin contributing to contract P&L. Participate in new business development, especially due diligence and solution design. Lead delivery of sourcing services for category. Demonstrate mastery in designated categories. Strategic development and performance delivery of the sourcing function.","2020-01-20T00:00","2020-12-31T00:00","Open - In Process","11","11","Business Process Specialization         ","Sourcing Practitioner","Function","Function Specialization L2","Supply Chain & Operations","Sourcing & Procurement"," 1 - Sourcing                                                                        (P3 - Advanced)",0
"Other "," GM Consulting Analyst Program ","New","Client & Market","In Country","Sydney","Canberra","Health & Public Service ","Yes","No","Sec Ops Practitioner","******AUSTRALIAN CITIZENSHIP REQUIRED******
Management of Operational outcomes inclusive of management of Client Request fulfilment, management of functional BAU upkeep of the Security controls, systems and the engagement across MHR Teams to achieve Security Operational outcomes. 
Must have Baseline Security Clearance or able to gain Security Clearance  (i.e. Australian Citizen)
Skills:
-                Technically adept and proficient
-                 Security focus
-                 System Administration or Network Administration 
-                 SQL querying
-                 Problem Solving
-                 Programming/Scripting
-                 Incident Response
-                 Task Management
-                 Reporting
-                 Client Facing/engagement","2020-02-17T00:00","2020-08-31T00:00","Open - New","11","11","Security                                ","Security Consulting Practitioner","Technology","Technology Specialization L2","Security","Security Strategy"," 1 - Incident Management                                                             (P1 - Beginner) | 2 - Problem Solving                                                                 (P1 - Beginner) | 3 - SQL (Structured Query Language)                                                 (P1 - Beginner)",0
"Accenture Technology "," Intelligent Cloud and Infrastructure ","New","Client & Market","Any Location Globally","Toronto","Hartford","Financial Services ","Yes","No","DevOps-11-Bengaluru","Act as software detectives, provide a dynamic service identifying and solving issues within multiple components of critical business systems.","2020-05-31T13:00","2021-05-30T13:00","Open - In Process","11","11","Software Engineering                    ","Application Support Engineer","Technology","No Technology Category","No Technology Specialization",," 1 - DevOps                                                                          (P3 - Advanced) | 2 - Java Enterprise Edition                                                         (P3 - Advanced) | 3 - Engineering Technical Support                                                   (P1 - Beginner) | 4 - Technology Troubleshooting                                                      (P1 - Beginner)",1
"Accenture Technology "," Intelligent Cloud and Infrastructure ","New","Client & Market","Any Location Globally","Toronto","Hartford","Financial Services ","Yes","No","DevOps-11-Bengaluru","Act as software detectives, provide a dynamic service identifying and solving issues within multiple components of critical business systems.","2020-05-31T13:00","2021-05-30T13:00","Open - In Process","11","11","Software Engineering                    ","Application Support Engineer","Technology","No Technology Category","No Technology Specialization",," 1 - DevOps                                                                          (P3 - Advanced) | 2 - Java Enterprise Edition                                                         (P3 - Advanced) | 3 - Application Remediation                                                         (P1 - Beginner) | 4 - Engineering Technical Support                                                   (P1 - Beginner)",2
"Communications, Media & Technology "," CMT North America OU ","New","Client & Market","Any Location Globally","Denver","Denver","Communications, Media & Technology ","Yes","No","Wireless Network Specialist-SIM OTA/eSIM","Looking for Wireless Network Specialist for new Hybrid Wireless Network in Denver, CO. The candidate is required to have subject matter expertise on SIM profiles, OTA platforms, eSIMs.
	Support design, development and deployment of a Hybrid MNO network
	Work with SIM vendors to create SIM profiles
	Create SIM applets for OTA campaigns
	Conduct architecture review sessions with the stakeholders
	Create process documents for SIM OTA downloads
	Demonstrate related experience and understanding of business solutions with an emphasis on Hybrid MNO
	Understanding of wireless technologies and systems such as 4G LTE, 5G, CBRS, IoT, Small Cells, Fixed Wireless, MVNOs
	Understanding of Wireless architectures and call flows at a high level
	Prior experience of working on SIM profiles, eSIMs, OTA platforms
	Experience of working as a solution engineer with a SIM/OTA vendor
	Understanding of GSMA SGP.22 spspecifications for Remote SIM provisioning
	Understanding of DSDS devices","2020-02-10T00:00","2020-12-31T00:00","Open - Need Project Feedback","11","6","Business & Technology Integration       ","Technology Consulting Practitioner (TC)","Technology","Technology Specialization L2","Architecture","Architecture Strategy"," 1 - Application Lifecycle Management                                                (P1 - Beginner) | 2 - Systems Development Lifecycle (SDLC)                                            (P1 - Beginner) | 3 - Technology Assessment                                                           (P1 - Beginner) | 4 - Wireless Network Strategy & Design                                              (P1 - Beginner) | 5 - Wireless Technologies Implementation                                            (P1 - Beginner)",8
"Communications, Media & Technology "," CMT North America OU ","New","Client & Market","Any Location Globally","Denver","Denver","Communications, Media & Technology ","Yes","No","Wireless Network Specialist-SIM OTA/eSIM","Looking for Wireless Network Specialist for new Hybrid Wireless Network in Denver, CO. The candidate is required to have subject matter expertise on SIM profiles, OTA platforms, eSIMs.
	Support design, development and deployment of a Hybrid MNO network
	Work with SIM vendors to create SIM profiles
	Create SIM applets for OTA campaigns
	Conduct architecture review sessions with the stakeholders
	Create process documents for SIM OTA downloads
	Demonstrate related experience and understanding of business solutions with an emphasis on Hybrid MNO
	Understanding of wireless technologies and systems such as 4G LTE, 5G, CBRS, IoT, Small Cells, Fixed Wireless, MVNOs
	Understanding of Wireless architectures and call flows at a high level
	Prior experience of working on SIM profiles, eSIMs, OTA platforms
	Experience of working as a solution engineer with a SIM/OTA vendor
	Understanding of GSMA SGP.22 spspecifications for Remote SIM provisioning
	Understanding of DSDS devices","2020-02-10T00:00","2020-12-31T00:00","Open - Need Project Feedback","11","6","Business & Technology Integration       ","Technology Consulting Practitioner (TC)","Technology","Technology Specialization L2","Architecture","Architecture Strategy"," 1 - Application Lifecycle Management                                                (P1 - Beginner) | 2 - Systems Development Lifecycle (SDLC)                                            (P1 - Beginner) | 3 - Technology Assessment                                                           (P1 - Beginner) | 4 - Wireless Network Strategy & Design                                              (P1 - Beginner) | 5 - Wireless Technologies Implementation                                            (P1 - Beginner)",3
"Accenture Technology "," Technology Geographic Unit ","New","Client & Market","Any Location Globally","London","London","Resources ","Yes","No","MuleSoft Developer","MuleSoft Developer","2020-02-24T00:00","2020-12-31T00:00","Open - In Process","11","7","Technology Architecture                 ","Application Integration Architect","Technology","Technology Specialization L2","Salesforce","MuleSoft"," 1 - Application Architectures                                                       (P3 - Advanced) | 2 - Enterprise Application Integration (EAI)                                        (P3 - Advanced) | 3 - Integration Architecture Blueprint & Design Solutions                           (P3 - Advanced) | 4 - Integration Architecture Implementation                                         (P3 - Advanced)",2
"Accenture Technology "," Technology Geographic Unit ","New","Client & Market","In Country","Melbourne","Melbourne","Products ","Yes","Yes","Oracle Time & Labor (OTL) Consultant","Strong functional experience in Oracle EBS Timesheeting and Labour Costing
Strong business engagement and implementation of Timesheeting and Labour Costing
Strong functional experience in Oracle EBS Absences Management solutioning.
Strong Functional Experience in Oracle EBS HR module","2020-02-17T00:00","2020-09-30T00:00","Open - New","11","7","Business & Technology Integration       ","Business Analyst","Technology","Technology Specialization L2","Oracle","Oracle EBS HCM"," 1 - Business Model Strategy                                                         (P1 - Beginner) | 2 - Business Process Analysis Tools                                                 (P1 - Beginner) | 3 - Business Process Design                                                         (P1 - Beginner) | 4 - Requirements Analysis                                                           (P1 - Beginner)",0
"Health & Public Service "," H&PS AAPAC OU ","New","Client & Market","In Country","Canberra","Canberra","Health & Public Service ","Yes","No","Application Designer Copy 01","Assist in defining requirements and designing applications to meet business process and application requirements.","2020-02-03T00:00","2020-12-31T00:00","Open - In Process","11","8","Software Engineering                    ","Application Designer","Technology","Technology Specialization L2","Complex Program Del","Complex Program Delivery"," 1 - Application Design                                                              (P2 - Intermediate) | 2 - Requirements Analysis                                                           (P1 - Beginner) | 3 - Requirements Definition                                                         (P1 - Beginner)",0
"Accenture Technology "," Technology Geographic Unit ","New","Client & Market","Any Location Globally","London","London","Products ","Yes","No","Ruby on Rails Developer","Looking for a developer (with good communication skills) to support a custom build application on Ruby on Rails with MySQL database running on AWS. KT will be provided.

Key Skills:
- Experience with the Ruby on Rails (4.2 and higher) framework
- Experience in creating and maintaining Ruby-GEMs
- Comfortable with a MySQL, Redis, Passenger stack
- JavaScript experience (jQuery, optionally also Angular)

Optionally:
- Experience with Dockerizing Rails apps 
- Deployment and hosting of Rails applications with either Cloud66, Kubernetes or Amazon Elastic Container Service","2020-02-24T00:00","2020-12-31T00:00","Open - New","11","8","Software Engineering                    ","Application Developer","Technology","Technology Specialization L2","Architecture","Development & Operations Architectures"," 1 - Ruby on Rails                                                                   (P4 - Expert) | 2 - Effective Written Communications                                                (P2 - Intermediate) | 3 - AWS DevOps & Development                                                        (P1 - Beginner) | 4 - Build Management                                                                (P1 - Beginner) | 5 - Configuration & Release Management                                              (P1 - Beginner) | 6 - MySQL                                                                           (P1 - Beginner)",5
"Accenture Technology "," Intelligent Cloud and Infrastructure ","New","Client & Market","In Country","Perth","Perth","Resources ","Yes","No","Software Infrastructure Consultant","BRFT1028 - Design the strategy to manage Client IT Infrastructure in order to support the delivery of operational efficiencies, improve employee and workplace performance and meet dynamic business demands. Coordinate overall infrastructure improvements across the workplace, network, datacenter and operations as well as provide resources to manage and run the infrastructure on a managed or capacity services basis.","2020-02-14T00:00","2020-04-24T00:00","Open - In Process","11","8","Infrastructure                          ","Infrastructure Consulting Lead","Function","No Function Category","No Function Specialization",," 1 - Infrastructure Operations                                                       (P1 - Beginner) | 2 - Infrastructure Planning                                                         (P1 - Beginner) | 3 - Infrastructure Strategy                                                         (P1 - Beginner) | 4 - Requirements Analysis                                                           (P1 - Beginner)",0
"Accenture Technology "," Accenture Products & Platforms","New","Client & Market","Any Location Globally","Kuala Lumpur","Kuala Lumpur","Resources ","Yes","Yes","Application Automation Engineer","Apply innovative ideas to drive the automation of Delivery Analytics at the client level.","2020-03-03T00:00","2020-07-03T00:00","Open - In Process","11","8","Software Engineering                    ","Application Automation Engineer","Technology","Technology Specialization L2","Applied Intelligence","Intelligent Process Automation"," 1 - Automation Anywhere                                                             (P3 - Advanced) | 2 - JavaScript                                                                      (P3 - Advanced) | 3 - PowerShell Scripting                                                            (P3 - Advanced) | 4 - Splunk                                                                          (P3 - Advanced) | 5 - Automation System Architecture Design                                           (P2 - Intermediate) | 6 - ServiceNow JavaScript APIs                                                      (P2 - Intermediate)",1
"Accenture Technology "," Accenture Products & Platforms","New","Client & Market","Any Location Globally","Kuala Lumpur","Kuala Lumpur","Resources ","Yes","Yes","Application Automation Engineer Copy 01","Apply innovative ideas to drive the automation of Delivery Analytics at the client level.","2020-03-03T00:00","2020-07-03T00:00","Open - New","11","8","Software Engineering                    ","Application Automation Engineer","Technology","Technology Specialization L2","Applied Intelligence","Intelligent Process Automation"," 1 - Automation Anywhere                                                             (P3 - Advanced) | 2 - JavaScript                                                                      (P3 - Advanced) | 3 - PowerShell Scripting                                                            (P3 - Advanced) | 4 - Splunk                                                                          (P3 - Advanced) | 5 - Automation System Architecture Design                                           (P2 - Intermediate) | 6 - ServiceNow JavaScript APIs                                                      (P2 - Intermediate)",0
"Health & Public Service "," H&PS AAPAC OU ","New","Client & Market","Any Location Globally","Singapore","Singapore","Health & Public Service ","Yes","No","Application Analyst","EPIC Certifications in Cadence, Prelude, Grand Central. Candidates with one or more of these certifications preferred.

Candidates should also have build experience for these modules.","2020-02-24T00:00","2020-10-30T00:00","Open - In Process","11","8","Advisory                                ","Analytics Advisory Lead","Technology","Technology Specialization L2","Applied Intelligence","Data Science"," 1 - EPIC                                                                            (P2 - Intermediate)",2
"Health & Public Service "," H&PS AAPAC OU ","New","Client & Market","Any Location Globally","Singapore","Singapore","Health & Public Service ","Yes","No","Application Analyst","EPIC Certifications in Inpatient Clinical Documentation, Inpatient Order Transmittal, Inpatient Procedure Orders. Candidates with one or more of these certifications preferred.
Candidates should also have build experience for these modules.","2020-12-16T00:00","2021-10-30T00:00","Open - New","11","8","Advisory                                ","Analytics Advisory Lead","Technology","Technology Specialization L2","Applied Intelligence","Data Science"," 1 - EPIC                                                                            (P2 - Intermediate)",1
"Health & Public Service "," H&PS AAPAC OU ","New","Client & Market","Any Location Globally","Singapore","Singapore","Health & Public Service ","Yes","No","Application Analyst","EPIC Certifications in Cogito Caboodle-Clarity Development, Cogito Clinical Data Model, Cogito Access Data Model. Transmittal, Inpatient Procedure Orders. Candidates with one or more of these certifications preferred.
Candidates should also have build experience for these modules.","2020-12-16T00:00","2020-12-31T00:00","Open - New","11","8","Advisory                                ","Analytics Advisory Lead","Technology","Technology Specialization L2","Applied Intelligence","Data Science"," 1 - EPIC                                                                            (P2 - Intermediate)",0
"Financial Services "," FS AAPAC OU ","New","Client & Market","In Country","Sydney","Sydney","Financial Services ","Yes","No","PMO Analyst","Assist the delivery lead with:
- resource mobilisation planning
- scope management
- status reporting
- programme management artefacts","2020-01-27T00:00","2020-08-31T00:00","Open - Need Project Feedback","11","8","Program, Project & Service Mgmt         ","Program/Project Manager","Function","No Function Category","No Function Specialization",," 1 - Program and Project Management                                                  (P3 - Advanced)",3
"Health & Public Service "," H&PS AAPAC OU ","New","Client & Market","In Country","Brisbane","Canberra","Health & Public Service ","Yes","No","UX Specialist","Analyze the needs of the target users and how they perform tasks to create an optimized user experience.","2020-02-17T00:00","2023-12-31T00:00","Open - Confirming Candidate","11","9","Design                                  ","User Experience Architect","Function","Function Specialization L2","Talent & HR","Enterprise Agility"," 1 - Visual Design                                                                   (P4 - Expert) | 2 - Data Visualization                                                              (P3 - Advanced) | 3 - User Experience Design                                                          (P3 - Advanced) | 4 - User Interface Design                                                           (P3 - Advanced)",1
"Health & Public Service "," H&PS AAPAC OU ","New","Client & Market","In Country","Brisbane","Canberra","Health & Public Service ","Yes","No","Business Process","Analyze and design new business processes. Identify and define detailed product requirements and use cases. Serve as a liaison to the business community and participate in user and task analysis to maintain the business community's perspective.

The description has been defaulted based on the Assigned Role selected; modify as needed to indicate any project specific details","2020-02-17T00:00","2020-04-30T00:00","Open - Confirming Candidate","11","9","Business & Technology Integration       ","Business Process Designer","Function","Function Specialization L2","Talent & HR","Enterprise Agility"," 1 - Change Management                                                               (P4 - Expert) | 2 - Business Continuity Management Operations                                       (P3 - Advanced) | 3 - Business Process Design                                                         (P3 - Advanced) | 4 - Business Process Implementation                                                 (P3 - Advanced)",1
"Health & Public Service "," H&PS AAPAC OU ","New","Client & Market","In Country","Canberra","Canberra","Health & Public Service ","Yes","No","Change Analyst","	As part of delivery team integrate change activities alongside technical and business delivery
	Work with Change lead in a small pod to create and delivery change artefacts 

Brisbane/Canberra/Melbourne

The ATO security process requires:
	5 years residence history 
	3 most recent years to be consecutively in Australia
	Overseas police checks for periods spent outside Australia longer than 3 months within last 5 years
	Authority to obtain working rights status if non-citizen","2020-07-01T00:00","2021-06-30T00:00","Open - New","11","9","Management Consulting                   ","Change Practitioner","Function","Function Specialization L2","Talent & HR","Enterprise Agility"," 1 - Change Management                                                               (P2 - Intermediate) | 2 - Effective Verbal Communications                                                 (P2 - Intermediate) | 3 - Effective Written Communications                                                (P2 - Intermediate) | 4 - Change Analytics                                                                (P1 - Beginner) | 5 - Journey Management                                                              (P1 - Beginner)",0
"Health & Public Service "," H&PS AAPAC OU ","New","Client & Market","In Country","Canberra","Canberra","Health & Public Service ","Yes","No","Change Analyst","	As part of delivery team integrate change activities alongside technical and business delivery
	Work with Change lead in a small pod to create and delivery change artefacts 

Brisbane/Canberra/Melbourne

The ATO security process requires:
	5 years residence history 
	3 most recent years to be consecutively in Australia
	Overseas police checks for periods spent outside Australia longer than 3 months within last 5 years
	Authority to obtain working rights status if non-citizen","2020-07-01T00:00","2021-06-30T00:00","Open - New","11","9","Management Consulting                   ","Change Practitioner","Function","Function Specialization L2","Talent & HR","Enterprise Agility"," 1 - Change Management                                                               (P2 - Intermediate) | 2 - Effective Verbal Communications                                                 (P2 - Intermediate) | 3 - Effective Written Communications                                                (P2 - Intermediate) | 4 - Change Analytics                                                                (P1 - Beginner) | 5 - Journey Management                                                              (P1 - Beginner)",0
"Health & Public Service "," H&PS AAPAC OU ","New","Client & Market","In Country","Canberra","Canberra","Health & Public Service ","Yes","No","Change Analyst","	As part of delivery team integrate change activities alongside technical and business delivery
	Work with Change lead in a small pod to create and delivery change artefacts 

Brisbane/Canberra/Melbourne

The ATO security process requires:
	5 years residence history 
	3 most recent years to be consecutively in Australia
	Overseas police checks for periods spent outside Australia longer than 3 months within last 5 years
	Authority to obtain working rights status if non-citizen","2021-01-04T00:00","2022-05-31T00:00","Open - New","11","9","Management Consulting                   ","Change Practitioner","Function","Function Specialization L2","Talent & HR","Enterprise Agility"," 1 - Change Management                                                               (P2 - Intermediate) | 2 - Effective Verbal Communications                                                 (P2 - Intermediate) | 3 - Effective Written Communications                                                (P2 - Intermediate) | 4 - Change Analytics                                                                (P1 - Beginner) | 5 - Journey Management                                                              (P1 - Beginner)",0
"Health & Public Service "," H&PS AAPAC OU ","New","Client & Market","In Country","Canberra","Canberra","Health & Public Service ","Yes","No","Change Analyst","	As part of delivery team integrate change activities alongside technical and business delivery
	Work with Change lead in a small pod to create and delivery change artefacts 

Brisbane/Canberra/Melbourne

The ATO security process requires:
	5 years residence history 
	3 most recent years to be consecutively in Australia
	Overseas police checks for periods spent outside Australia longer than 3 months within last 5 years
	Authority to obtain working rights status if non-citizen","2021-01-04T00:00","2022-05-31T00:00","Open - New","11","9","Management Consulting                   ","Change Practitioner","Function","Function Specialization L2","Talent & HR","Enterprise Agility"," 1 - Change Management                                                               (P2 - Intermediate) | 2 - Effective Verbal Communications                                                 (P2 - Intermediate) | 3 - Effective Written Communications                                                (P2 - Intermediate) | 4 - Change Analytics                                                                (P1 - Beginner) | 5 - Journey Management                                                              (P1 - Beginner)",0
"Health & Public Service "," H&PS AAPAC OU ","New","Client & Market","In Country","Canberra","Canberra","Health & Public Service ","Yes","No","Change Analyst","	As part of delivery team integrate change activities alongside technical and business delivery
	Work with Change lead in a small pod to create and delivery change artefacts 

Brisbane/Canberra/Melbourne

The ATO security process requires:
	5 years residence history 
	3 most recent years to be consecutively in Australia
	Overseas police checks for periods spent outside Australia longer than 3 months within last 5 years
	Authority to obtain working rights status if non-citizen","2021-01-04T00:00","2022-05-31T00:00","Open - New","11","9","Management Consulting                   ","Change Practitioner","Function","Function Specialization L2","Talent & HR","Enterprise Agility"," 1 - Change Management                                                               (P2 - Intermediate) | 2 - Effective Verbal Communications                                                 (P2 - Intermediate) | 3 - Effective Written Communications                                                (P2 - Intermediate) | 4 - Change Analytics                                                                (P1 - Beginner) | 5 - Journey Management                                                              (P1 - Beginner)",0
"Health & Public Service "," H&PS AAPAC OU ","New","Client & Market","In Country","Canberra","Canberra","Health & Public Service ","Yes","No","Change Analyst","	As part of delivery team integrate change activities alongside technical and business delivery
	Work with Change lead in a small pod to create and delivery change artefacts 

Brisbane/Canberra/Melbourne

The ATO security process requires:
	5 years residence history 
	3 most recent years to be consecutively in Australia
	Overseas police checks for periods spent outside Australia longer than 3 months within last 5 years
	Authority to obtain working rights status if non-citizen","2021-01-04T00:00","2022-05-31T00:00","Open - New","11","9","Management Consulting                   ","Change Practitioner","Function","Function Specialization L2","Talent & HR","Enterprise Agility"," 1 - Change Management                                                               (P2 - Intermediate) | 2 - Effective Verbal Communications                                                 (P2 - Intermediate) | 3 - Effective Written Communications                                                (P2 - Intermediate) | 4 - Change Analytics                                                                (P1 - Beginner) | 5 - Journey Management                                                              (P1 - Beginner)",0
"Health & Public Service "," H&PS AAPAC OU ","New","Client & Market","In Country","Canberra","Canberra","Health & Public Service ","Yes","No","Change Analyst","	As part of delivery team integrate change activities alongside technical and business delivery
	Work with Change lead in a small pod to create and delivery change artefacts 

Brisbane/Canberra/Melbourne

The ATO security process requires:
	5 years residence history 
	3 most recent years to be consecutively in Australia
	Overseas police checks for periods spent outside Australia longer than 3 months within last 5 years
	Authority to obtain working rights status if non-citizen","2021-10-04T00:00","2023-09-30T00:00","Open - New","11","9","Management Consulting                   ","Change Practitioner","Function","Function Specialization L2","Talent & HR","Enterprise Agility"," 1 - Change Management                                                               (P2 - Intermediate) | 2 - Effective Verbal Communications                                                 (P2 - Intermediate) | 3 - Effective Written Communications                                                (P2 - Intermediate) | 4 - Change Analytics                                                                (P1 - Beginner) | 5 - Journey Management                                                              (P1 - Beginner)",0
"Health & Public Service "," H&PS AAPAC OU ","New","Client & Market","In Country","Canberra","Canberra","Health & Public Service ","Yes","No","Change Analyst","	As part of delivery team integrate change activities alongside technical and business delivery
	Work with Change lead in a small pod to create and delivery change artefacts 

Brisbane/Canberra/Melbourne

The ATO security process requires:
	5 years residence history 
	3 most recent years to be consecutively in Australia
	Overseas police checks for periods spent outside Australia longer than 3 months within last 5 years
	Authority to obtain working rights status if non-citizen","2021-10-04T00:00","2023-09-30T00:00","Open - New","11","9","Management Consulting                   ","Change Practitioner","Function","Function Specialization L2","Talent & HR","Enterprise Agility"," 1 - Change Management                                                               (P2 - Intermediate) | 2 - Effective Verbal Communications                                                 (P2 - Intermediate) | 3 - Effective Written Communications                                                (P2 - Intermediate) | 4 - Change Analytics                                                                (P1 - Beginner) | 5 - Journey Management                                                              (P1 - Beginner)",0
"Health & Public Service "," H&PS AAPAC OU ","New","Client & Market","In Country","Canberra","Canberra","Health & Public Service ","Yes","No","Behavioural Change Consultant","Help develop and execute change initiatives to enable a successful transition to the target state. Develop metrics to measure transition and determine appropriate actions.","2020-02-24T00:00","2020-08-21T00:00","Open - New","11","9","Management Consulting                   ","Change Practitioner","Function","No Function Category","No Function Specialization",," 1 - Change Analytics                                                                (P1 - Beginner) | 2 - Change Management                                                               (P1 - Beginner) | 3 - Journey Management                                                              (P1 - Beginner) | 4 - Organization Strategy                                                           (P1 - Beginner) | 5 - Stakeholder Management                                                          (P1 - Beginner)",0
"Accenture Technology","Other","New","Client & Market","Any Location Globally","Chennai","Chennai","Health & Public Service ","Yes","No","Tester","This is a Functional Tester Role for Sales IT. The key skillsets & R&R for the role are 

·         Develops comprehensive plans, strategies for assigned deliverables.
·         Identifies approaches for risk-based testing for each feature or scope of work in a project effort and prioritizes test execution to test high risk/high impact Sarios first.
·         Leads team to create test cases, test scenarios (scripts), and test conditions, based upon review of functional and non-functional system requirements and other technical documentation including design documents, system architecture and mapping documents.
·         Prepares and reviews test scripts and other test documentation, and procedures with test teams and primary stakeholders.
·         Create and Execute complex SQL queries as required to complete testing efforts.
·         Works with IT teams to ensure proper test environment preparation and stability; ensures data preparation is complete and accurate for the test scenari","2019-06-10T00:00","2020-07-06T00:00","Open - New","11","9","Software Engineering                    ","Tester","Technology","Technology Specialization L2","Testing","Digital Testing"," 1 - Functional Test Planning                                                        (P5 - Master) | 2 - Test Management                                                                 (P5 - Master) | 3 - Microsoft SQL Server Database Administration                                    (P3 - Advanced)",0
"Accenture Technology","Other","New","Client & Market","Any Location Globally","Chennai","Chennai","Health & Public Service ","Yes","No","Tester Copy 01","This is a Functional Tester Role for Sales IT. The key skillsets & R&R for the role are 

·         Develops comprehensive plans, strategies for assigned deliverables.
·         Identifies approaches for risk-based testing for each feature or scope of work in a project effort and prioritizes test execution to test high risk/high impact Sarios first.
·         Leads team to create test cases, test scenarios (scripts), and test conditions, based upon review of functional and non-functional system requirements and other technical documentation including design documents, system architecture and mapping documents.
·         Prepares and reviews test scripts and other test documentation, and procedures with test teams and primary stakeholders.
·         Create and Execute complex SQL queries as required to complete testing efforts.
·         Works with IT teams to ensure proper test environment preparation and stability; ensures data preparation is complete and accurate for the test scenari","2019-06-10T00:00","2020-07-06T00:00","Open - New","11","9","Software Engineering                    ","Tester","Technology","Technology Specialization L2","Testing","Digital Testing"," 1 - Functional Test Planning                                                        (P5 - Master) | 2 - Test Management                                                                 (P5 - Master) | 3 - Microsoft SQL Server Database Administration                                    (P3 - Advanced)",0
"Accenture Technology","Other","New","Client & Market","Any Location Globally","Chennai","Chennai","Health & Public Service ","Yes","No","Tester Copy 02","This is a Functional Tester Role for Sales IT. The key skillsets & R&R for the role are 

·         Develops comprehensive plans, strategies for assigned deliverables.
·         Identifies approaches for risk-based testing for each feature or scope of work in a project effort and prioritizes test execution to test high risk/high impact Sarios first.
·         Leads team to create test cases, test scenarios (scripts), and test conditions, based upon review of functional and non-functional system requirements and other technical documentation including design documents, system architecture and mapping documents.
·         Prepares and reviews test scripts and other test documentation, and procedures with test teams and primary stakeholders.
·         Create and Execute complex SQL queries as required to complete testing efforts.
·         Works with IT teams to ensure proper test environment preparation and stability; ensures data preparation is complete and accurate for the test scenari","2019-06-10T00:00","2020-07-06T00:00","Open - New","11","9","Software Engineering                    ","Tester","Technology","Technology Specialization L2","Testing","Digital Testing"," 1 - Functional Test Planning                                                        (P5 - Master) | 2 - Test Management                                                                 (P5 - Master) | 3 - Microsoft SQL Server Database Administration                                    (P3 - Advanced)",0
