Assignment Fulfillment Entity 1,Assignment Fulfillment Entity 2,Role Demand type,Career Track,Location Radius,Source Location,Project Metro City,Project Supervising Entity,Sold,Client Contract Based,Assignment Title,Description,Requested Start Date,End Date,Status,Career Level From,Career Level To,Talent Segment,Assigned Role,Assignment Primary Specialization Level 1,Assignment Primary Specialization Level 2,Assignment Primary Specialization Level 3,Assignment Primary Specialization Level 4,Quadrant 1,Quadrant 2
Accenture Digital , Accenture Applied Intelligence ,New,Client & Market,In Country,Sydney,Sydney,Financial Services ,Yes,No,ODD: Data & Data Technology Architect,"1. Spark Experience:
- Strong Spark SQL experience particularly relating to unique aspects of the Spark SQL dialect (unique functions, caching, ...)
- Executing Apache Spark jobs at scale (i.e. the conceptual understanding of how Spark works to be able to help diagnose tuning problems).
- Limited Scala/Java experience to be able to debug/enhance code if required.
- JVM tuning for different size machines to maximise Apache Spark performance.
- Experience with CICD processes.
- Knowledge of the Spark ML stack beneficial but not required.",2020-02-03T00:00,2020-08-07T00:00,Open - Need Project Feedback,8,6,Technology Architecture                 ,Data Architect,Technology,Technology Specialization L2,Data Business Group,Data Architecture,0,0
Accenture Technology , Technology Geographic Unit ,New,Client & Market,In Town,Brisbane,Brisbane,Health & Public Service ,Yes,No,Software Implementation Tech Architect,"***This is a part-time role only. Total of 8 days over 8 weeks.***
Provide guidance on a SuccessFactors enhancement from a technological perspective. Direct interaction with clients and all representatives. Provide technical guidance and training to the implementation teams and ensure that the implementations follow the finest practice configuration principles. Review and provide input on enhancement and deployment documentation.",2020-02-19T00:00,2020-03-31T00:00,Open - Confirming Candidate,8,7,Business & Technology Integration       ,Software Implementation Tech Architect,Technology,Technology Specialization L2,SAP,SuccessFactors Recruiting,0,0
Health & Public Service , H&PS AAPAC OU ,New,Client & Market,In Country,Canberra,Canberra,Health & Public Service ,Yes,No,Change Architect (Organisation Design Interlock),"	Lead change pods to delivery important change work as part of a delivery team
	Manage cross team dependencies and communication
	Provide guidance to client on change actives
	Integrate change into an overall delivery framework



Brisbane/Canberra/Melbourne

The ATO security process requires:
	5 years residence history 
	3 most recent years to be consecutively in Australia
	Overseas police checks for periods spent outside Australia longer than 3 months within last 5 years
	Authority to obtain working rights status if non-citizen",2021-01-04T00:00,2022-05-31T00:00,Open - Need Project Feedback,8,7,Management Consulting                   ,Change Lead,Function,Function Specialization L2,Talent & HR,Enterprise Agility,0,0
Health & Public Service , H&PS AAPAC OU ,New,Client & Market,In Country,Canberra,Canberra,Health & Public Service ,Yes,No,Application Security Architect,"-Producing technical artefacts describing application patterns, principles, standards, policies, reference architectures and strategies covering cloud infrastructure, client-server applications, n-tier application architecture, SOEs, software currency through evergreen and patching, container architecture, active directory models, cloud native application architectures across SaaS, PaaS and IaaS.
-Experience with assessment, development, implementation, optimization, and documentation of a comprehensive and broad set of security technologies and processes (secure software development (Application Security), data protection, cryptography, key management, identity and access management (IAM), network security
-Experience performing threat modelling and design reviews to assess security implications and requirements for introduction of new technologies
-Exp with ent arch & work as part of a x-functional team to implement solutions
-Have or able to acquire Baseline
-Exp with gov agency",2020-02-24T00:00,2020-08-31T00:00,Open - New,8,7,Technology Architecture                 ,Application Security Architect,Technology,Technology Specialization L2,Security,Application Security Non ERP,0,0
Accenture Technology , Accenture Products & Platforms,New,Client & Market,Any Location Globally,Chennai,Amsterdam,Products ,Yes,Yes,Platforms PM,"Develop and execute activities related to end-to-end project management, including project plans and estimates, scoping and requirements through implementation and deployment. Proactively monitor, manage and report on execution of deliverables.",2020-03-02T00:00,2020-08-28T00:00,Open - New,8,7,"Program, Project & Service Mgmt         ",Program/Project Manager,Technology,Technology Specialization L2,Legacy Decoupling,Integration Technology and Platforms,0,0
Accenture Technology , Technology Geographic Unit ,New,Client & Market,In Country,Melbourne,Melbourne,Products ,Yes,No,Technical Test Lead/Consultant,"1.	To be able to independently manage stakeholders, communicate effectively, perform technical consultant role.2.	Must have experience in delivering PT POCs (Proof-of-concepts) using at least 2 PT tools (Load runner and/or JMeter, Gatling or Flood or Any other tools).3.	Must have delivered Non-functional (Performance) testing phases (lead and managing) of any medium-large scale projects with multi-tier technology landscape.4.	Must have experience in delivering test strategy, test plan/approach and set-up test governance and reporting for PT/NFT and OAT (Operational-Acceptance-Testing) Phases of testing SDLC.5.	Must have E2E test management (strategy, planning, data set-up, optimization and execution) covering both Progression, regression testing across PT/NFT and OAT phases of testing SDLC.6.	Must have defect management expertise across all above phases and should be able to manage defects either using Microfocus ALM and/or JIRA or qTest – application delivery management tools.",2020-04-15T00:00,2020-05-31T00:00,Open - New,8,7,Software Engineering                    ,Test Lead,Technology,Technology Specialization L2,AWS,Amazon Web Services,0,0
Other , Affiliated Companies ,New,Client & Market,In Country,Melbourne,Melbourne,Health & Public Service ,Yes,No,BUPA A000212603 O365/MCAs/Azure Sentinel Infrastructure Consulting Practitioner,"Support clients to design, build and run an agile, scalable IT infrastructure that is standardized and optimized to deliver operational efficiencies, improve employee and workplace performance and meet dynamic business demands. Apply infrastructure improvements across the workplace, network, data center and operations as well as provide resources to manage and run the infrastructure on a managed or capacity services basis.",2020-04-01T00:00,2020-06-30T00:00,Open - Confirming Candidate,8,7,Infrastructure                          ,Infrastructure Consulting Practitioner,Technology,Technology Specialization L2,Microsoft,Microsoft Development,0,0
Resources , RES AAPAC OU ,New,Client & Market,In Country,Perth,Perth,Resources ,Yes,No,SAP Oil & Gas Functional Consultant - JVA,"Support the analysis and design of new function business processes. 
Identify and define detailed requirements. 
Serve as a liaison to the business community and participate in user and task analysis to maintain the business community's perspective.
Support the analysis and design of new function business processes. 
Identify and define detailed requirements. 
Serve as a liaison to the business community and participate in user and task analysis to maintain the business community' perspective
Key member of the SAP S/4 HANA Oil and Gas Practice that helps define our client’s core strategic road map and provides leadership in their transformation journey.
Help our customers understand how SAP fits into their roadmap and what functionality should be leveraged to meet their business requirements.
Provide our customers key insight and direction related to industry trends, best practices, and world-class solutions.
Broad knowledge of the SAP IS-Oil Solution and deep industry expertise",2020-03-03T00:00,2021-04-02T00:00,Open - In Process,8,7,Management Consulting                   ,Business Function Designer,Function,Function Specialization L2,CFO & EV,Finance Processes and Operations,0,0
Accenture Technology , Technology Geographic Unit ,New,Client & Market,In Country,Sydney,Sydney,Financial Services ,Yes,Yes,SAP CRM Functional Designer / HANA Technical SME,SAP Hana functional / technical domain knowledge,2020-02-10T00:00,2020-12-31T00:00,Open - New,8,7,Management Consulting                   ,Business Function Designer,Technology,Technology Specialization L2,SAP,SAP Development,0,0
Accenture Technology , Technology Geographic Unit ,New,Client & Market,In Country,Sydney,Sydney,Financial Services ,Yes,Yes,SAP CRM Functional Designer,Support the analysis and design of new function business processes. Identify and define detailed requirements. Serve as a liaison to the business community and participate in user and task analysis to maintain the business community' perspective.,2020-02-24T00:00,2020-09-30T00:00,Open - Need Project Feedback,8,7,Management Consulting                   ,Business Function Designer,Technology,Technology Specialization L2,SAP,SAP CRM Service,0,0
Accenture Digital , Accenture Interactive ,New,Client & Market,In Country,Sydney,Sydney,Products ,Yes,No,Governance - AM Lead,"Develop and execute activities related to end-to-end project management, including project plans and estimates, scoping and requirements through implementation and deployment. Proactively monitor, manage and report on execution of deliverables.",2020-02-03T00:00,2020-04-17T00:00,Open - Need Project Feedback,8,7,"Program, Project & Service Mgmt         ",Program/Project Manager,Function,No Function Category,No Function Specialization,,0,0
Accenture Technology , Advanced Technology Centers ,New,Client & Market,Any Location Globally,Bonn,Bonn,Resources ,Yes,Yes,Data Migration lead,"Work directly with the client gathering requirements to align technology with business strategy and goals and. Experts internally and externally for their deep functional or industry expertise, domain knowledge, or offering expertise.
Lead data migration team onsite and offshore",2020-01-31T18:30,2020-09-29T18:30,Open - In Process,8,8,Business & Technology Integration       ,Business and Integration Architect,Technology,Technology Specialization L2,SAP,SAP Data Migration,0,0
Accenture Technology , Intelligent Cloud and Infrastructure ,New,Client & Market,Any Location Globally,Charlotte,Charlotte,Financial Services ,Yes,No,nCino-8-Hyderabad,"Lead the testing effort and/or team to plan, construct and execute release tests. Apply testing methodologies, principles and processes to define and implement key metrics to manage and assess the testing process including test execution and defect resolution. Apply business and functional knowledge to meet the teams overall test objectives. Coach and advice testers as required.",2020-03-15T13:00,2021-01-30T13:00,Open - In Process,8,8,Software Engineering                    ,Test Lead,,,,,0,0
Accenture Technology , Intelligent Cloud and Infrastructure ,New,Client & Market,Any Location Globally,Dublin,Dublin,Financial Services ,Yes,No,nCino-8-Pune,"Lead the testing effort and/or team to plan, construct and execute release tests. Apply testing methodologies, principles and processes to define and implement key metrics to manage and assess the testing process including test execution and defect resolution. Apply business and functional knowledge to meet the teams overall test objectives. Coach and advice testers as required.",2020-03-31T13:00,2021-01-30T13:00,Open - In Process,8,8,Software Engineering                    ,Test Lead,,,,,0,0
Accenture Technology , Intelligent Cloud and Infrastructure ,New,Client & Market,Any Location Globally,London,Charlotte,Financial Services ,Yes,No,Functional Test Planning-8-Hyderabad,"Work directly with the client gathering requirements to analyze, design and/or implement technology best practice business changes to technology with business strategy and goals .",2019-04-07T13:00,2020-12-30T13:00,Open - New,8,8,Business & Technology Integration       ,Business and Integration Practitioner,Technology,No Technology Category,No Technology Specialization,,0,0
Accenture Technology , Accenture Products & Platforms,New,Client & Market,Any Location Globally,London,London,Products ,Yes,No,Security Specialist,"Assist in defining requirements, designing and building security components, and testing efforts.",2020-03-02T00:00,2021-05-31T00:00,Open - New,8,8,Security                                ,Security Specialist,Technology,Technology Specialization L2,Security,Application Security Non ERP,0,0
Accenture Operations , Delivery ,New,Client & Market,In Country,Melbourne,Sydney,Other ,Yes,No,Sourcing Associate Manager - Clinicals,"Develop, train and manage the team of sourcing team members. Maximize resource utilization to ensure optimal productivity and margin contributing to contract P&L. Participate in new business development, especially due diligence and solution design. Lead delivery of sourcing services for category. Demonstrate mastery in designated categories. Strategic development and performance delivery of the sourcing function.",2020-02-15T00:00,2020-12-31T00:00,Open - In Process,8,8,Business Process Specialization         ,Sourcing Practitioner,Function,Function Specialization L2,Supply Chain & Operations,Sourcing & Procurement,0,0
Accenture Technology , Technology Geographic Unit ,New,Client & Market,In Country,Melbourne,Melbourne,Products ,Yes,No,Technical Test Lead/Consultant,"1.	To be able to independently lead and manage stakeholders, a team of 4-6 PT testers, communicate effectively, perform technical consultant role.
2.	Must have experience in delivering PT POCs (Proof-of-concepts) using at least 2 PT tools (Load runner and/or JMeter, Gatling or Flood or Any other tools).
3.	Must have delivered Non-functional (Performance) testing phases (lead and managing) of any medium-large scale projects with multi-tier technology landscape.
4.	Must have experience in delivering test strategy, test plan/approach and set-up test governance and reporting for PT/NFT and OAT (Operational-Acceptance-Testing) Phases of testing SDLC.
5.	Must have E2E test management (strategy, planning, data set-up, optimization and execution) covering both Progression, regression testing across PT/NFT and OAT phases of testing SDLC.
6.	Must have defect management expertise across all above phases and should be able to manage defects either using Microfocus ALM and/or JIRA or qTest – app de",2020-07-01T00:00,2021-09-30T00:00,Open - New,8,8,Software Engineering                    ,Test Lead,Technology,Technology Specialization L2,AWS,Amazon Web Services,0,0
Accenture Technology , Intelligent Cloud and Infrastructure ,Backfill-App Services,Client & Market,Any Location Globally,Perth,Perth,Resources ,Yes,Yes,Oracle Procedural Language Extensions to SQL-8-Manila,Own the client aspects of service management for one or more outsourcing contracts. Lead the day-to-day management of contract operations and performance. Invest on a daily basis in overall growth of the outsourcing contract and its financial performance.,2020-04-14T08:00,2020-09-13T08:00,Open - Confirming Candidate,8,8,"Program, Project & Service Mgmt         ",Service Manager,Technology,No Technology Category,No Technology Specialization,,0,0
Accenture Technology , Technology Geographic Unit ,New,Client & Market,Any Location Globally,Riyadh,Riyadh,"Communications, Media & Technology ",Yes,No,SF-WFA/WFP,Implementation of SuccessFactors Workforce planning and Analytics and its related reporting as per the client requirements. Candidate shall be upskilled with NEWIT concepts such as AI to provide smart reporting to foresee the resource demand etc,2020-04-05T00:00,2020-12-31T00:00,Open - In Process,8,8,Business & Technology Integration       ,Business and Integration Architect,Technology,Technology Specialization L2,SAP,SAP Data Management,0,0
Accenture Technology , Intelligent Cloud and Infrastructure ,New,Client & Market,Any Location Globally,Singapore,Singapore,Health & Public Service ,Yes,No,Server Operating Systems x86-8-Manila,"Act as the ongoing interface between the client and the system or application. Dedicated to quality, using exceptional communication skills to keep our world class systems running. Can accurately define a client issue and can interpret and design a resolution based on deep product knowledge.",2020-02-17T08:00,2021-01-11T08:00,Open - In Process,8,8,Information Technology Operations       ,SW/Application Tech Support Practitioner,Technology,No Technology Category,No Technology Specialization,,0,0
Accenture Technology , Intelligent Cloud and Infrastructure ,New,Client & Market,Any Location Globally,Tokyo,Tokyo,Other ,Yes,No,Microsoft Dynamics 365 ERP Technical-8-Chennai,"Design, build and configure applications to meet business process and application requirements.",2020-02-29T13:00,2020-08-31T13:00,Open - In Process,8,8,Software Engineering                    ,Application Developer,Technology,No Technology Category,No Technology Specialization,,0,0
Financial Services , FS North America OU ,New,Client & Market,Any Location Globally,Hartford,Hartford,Financial Services ,Yes,No,User Experience Architect,"1. Conduct research including surveys, contextual interviews, user persona development, and usability studies to understand the user experience idealized by the client using client’s resources.
2. Envision and design the user experience from onboarding, error correction, and to completion.
3. Design and present user experience documentation including wireframes, mockups, flows, conceptual diagrams, task flows, and/or site maps to client.
4. Facilitates workshops as appropriate with the project team and stakeholders to better understand the current state customer journey and to define the future state customer journey.
5. Coordinates the work of junior UX team members working within their assigned projects.
6. Lead prototype work and other software engineering solutions that create an optimized user experience.
7. Translate design concepts to prototype solutions as quickly and tangibly as possible, with a balanced understanding of technical feasibility implications and design intent.",2020-02-10T00:00,2021-01-29T00:00,Open - Need Project Feedback,9,6,Design                                  ,User Experience Architect,Function,Function Specialization L2,Customer Insight & Growth,Digital Customer Experience,0,0
Other , Affiliated Companies ,New,Client & Market,In Country,Melbourne,Melbourne,Health & Public Service ,Yes,No,Security Architect ext,"Define the security architecture, ensuring that it meets the business requirements and performance goals.",2020-04-01T00:00,2020-06-30T00:00,Open - Confirming Candidate,9,6,Security                                ,Security Architect,Technology,Technology Specialization L2,Microsoft,Microsoft Infrastructure,0,0
Other , Affiliated Companies ,New,Client & Market,In Country,Sydney,Sydney,Other ,Yes,No,ATO RFQ210 extension,"Accountable for prototype work and other software engineering solutions that create an optimized user experience. Translate design concepts to prototype solutions as quickly and tangibly as possible, with a balanced understanding of technical feasibility implications and design intent.",2020-05-01T00:00,2020-12-18T00:00,Open - Confirming Candidate,9,6,Experience Design                       ,User Experience Engineer,Technology,Technology Specialization L2,Microsoft,Microsoft Development,0,0
Other , Affiliated Companies ,New,Client & Market,In Country,Sydney,Sydney,Other ,Yes,No,Defence O365_Infrastructure,"Lead the definition, design and documentation of technical environments. Deploy solution architectures, conduct analysis of alternative architectures, create architectural standards, define processes to ensure conformance with standards, institute solution-testing criteria, define a solution's cost of ownership, and promote a clear and consistent business vision through technical architectures.",2020-01-28T00:00,2020-03-31T00:00,Open - In Process,9,6,Infrastructure                          ,Infrastructure Technical Architect,Technology,Technology Specialization L2,Microsoft,Microsoft Development,0,0
Accenture Technology , Technology Geographic Unit ,New,Client & Market,In Country,Melbourne,Melbourne,"Communications, Media & Technology ",Yes,No,Application Developer,"Design, build and configure applications to meet business process and application requirements.",2020-02-10T00:00,2020-03-31T00:00,Open - In Process,9,7,Software Engineering                    ,Application Developer,Function,No Function Category,No Function Specialization,,0,0
Health & Public Service , H&PS AAPAC OU ,New,Client & Market,In Country,Brisbane,Canberra,Health & Public Service ,Yes,No,UX Specialist,Analyze the needs of the target users and how they perform tasks to create an optimized user experience.,2020-02-17T00:00,2021-12-31T00:00,Open - Confirming Candidate,9,7,Design                                  ,User Experience Architect,Function,Function Specialization L2,Customer Insight & Growth,Digital Customer Experience,0,0
Health & Public Service , H&PS AAPAC OU ,New,Client & Market,In Country,Brisbane,Canberra,Health & Public Service ,Yes,No,Data Migration Designer,"Work directly with the client gathering requirements to analyze, design and/or implement technology best practice business changes to technology with business strategy and goals.
Responsible for the delivery of the Data Migration in a Release following the Load Plan schedule
Running the Daily Status meetings with the Business, but also with the Data Migration team assigned to the Release
Communication to Release Management & other related Stakeholders D12.
Citizenship Requried
Brisbane/Canberra/Melbourne

The ATO security process requires:
	5 years residence history 
	3 most recent years to be consecutively in Australia
	Overseas police checks for periods spent outside Australia longer than 3 months within last 5 years
	Authority to obtain working rights status if non-citizen",2020-05-01T00:00,2024-01-31T00:00,Open - New,9,7,Business & Technology Integration       ,Business and Integration Architect,Technology,Technology Specialization L2,Complex Program Del,Complex Program Delivery,0,0
Health & Public Service , H&PS AAPAC OU ,New,Client & Market,In Country,Brisbane,Canberra,Health & Public Service ,Yes,No,Data Migration Designer,"Work directly with the client gathering requirements to analyze, design and/or implement technology best practice business changes to technology with business strategy and goals.
Responsible for the delivery of the Data Migration in a Release following the Load Plan schedule
Running the Daily Status meetings with the Business, but also with the Data Migration team assigned to the Release
Communication to Release Management & other related Stakeholders D12.
Citizenship Requried
Brisbane/Canberra/Melbourne

The ATO security process requires:
	5 years residence history 
	3 most recent years to be consecutively in Australia
	Overseas police checks for periods spent outside Australia longer than 3 months within last 5 years
	Authority to obtain working rights status if non-citizen",2021-05-03T00:00,2023-07-03T00:00,Open - New,9,7,Business & Technology Integration       ,Business and Integration Architect,Technology,Technology Specialization L2,Complex Program Del,Complex Program Delivery,0,0
Health & Public Service , H&PS AAPAC OU ,New,Client & Market,In Country,Brisbane,Canberra,Health & Public Service ,Yes,No,Data Analyst,"Work directly with the client gathering requirements to analyze, design and/or implement technology best practice business changes to technology with business strategy and goals.
Responsible for the delivery of the Data Migration in a Release following the Load Plan schedule
Running the Daily Status meetings with the Business, but also with the Data Migration team assigned to the Release
Communication to Release Management & other related Stakeholders D12.
Citizenship Requried
Brisbane/Canberra/Melbourne

The ATO security process requires:
	5 years residence history 
	3 most recent years to be consecutively in Australia
	Overseas police checks for periods spent outside Australia longer than 3 months within last 5 years
	Authority to obtain working rights status if non-citizen",2021-05-03T00:00,2023-07-31T00:00,Open - New,9,7,Business & Technology Integration       ,Business and Integration Architect,Technology,Technology Specialization L2,Complex Program Del,Complex Program Delivery,0,0
Health & Public Service , H&PS AAPAC OU ,New,Client & Market,In Country,Canberra,Canberra,Health & Public Service ,Yes,No,UX/UI Designer,"	Work in multidisciplinary teams leading Detailed Level user experience design and integrate into build and delivery teams
	Take product from detailed design to delivery and User acceptance testing

Requires:
	Wire framing
	High fidelity prototypes
	Graphic design
	UI Design
	agile


Brisbane/Canberra/Melbourne

The ATO security process requires:
	5 years residence history 
	3 most recent years to be consecutively in Australia
	Overseas police checks for periods spent outside Australia longer than 3 months within last 5 years
	Authority to obtain working rights status if non-citizen
",2020-02-17T00:00,2020-05-31T00:00,Open - Need Project Feedback,9,7,Design                                  ,User Experience Architect,Function,Function Specialization L2,Customer Insight & Growth,Digital Customer Experience,0,0
Accenture Technology , Intelligent Cloud and Infrastructure ,New,Client & Market,In Country,Canberra,Canberra,Health & Public Service ,Yes,No,O365 Technical Account Manager,IT Operations professionals support infrastructure operations and/or manage delivery for IT production systems and services based on operational requirements and service agreements.,2020-06-22T00:00,2021-05-21T00:00,Open - New,9,7,Information Technology Operations       ,IT Operations Practitioner,Technology,Technology Specialization L2,Microsoft,Microsoft Infrastructure,0,0
Other , Affiliated Companies ,New,Client & Market,In Country,Canberra,Sydney,Other ,Yes,No,Defence TEMPLAR extension,"Support clients to design, build and run an agile, scalable IT infrastructure that is standardized and optimized to deliver operational efficiencies, improve employee and workplace performance and meet dynamic business demands. Apply infrastructure improvements across the workplace, network, data center and operations as well as provide resources to manage and run the infrastructure on a managed or capacity services basis.",2020-07-01T00:00,2021-06-30T00:00,Open - Confirming Candidate,9,7,Infrastructure                          ,Infrastructure Consulting Practitioner,Technology,Technology Specialization L2,Microsoft,Microsoft Infrastructure,0,0
"Communications, Media & Technology ", CMT North America OU ,New,Client & Market,Any Location Globally,Chicago,Chicago,Other ,Yes,No,Team Integration Change Lead,"Work with Corporate functions team to bring in a JV to another team. This includes a Change and Stakeholder Impact Analysis, and support of an internal stakeholder to shape the change vision and define the change acceptance strategy. Define the appropriate change initiatives including the skills, structures, tools and support mechanisms needed to manage organizational change. Measure progress toward the target state.",2020-02-03T00:00,2020-03-16T00:00,Open - Need Project Feedback,9,7,Management Consulting                   ,Change Lead,Function,Function Specialization L2,Talent & HR,Learning and New Skilling,0,0
Resources , RES AAPAC OU ,New,Client & Market,In Country,Melbourne,Melbourne,Resources ,Yes,No,Business Energy Change Lead,"Analyze an organization and design its processes and systems, assessing the business model and its integration with technology. Assess current state, identify customer requirements, and define the future state and/or business solution. Research, gather and synthesize information.

Team Lead for Business Analysts determining requirements for Process, System and Reporting changes.",2020-06-01T00:00,2020-12-23T00:00,Open - Need Project Feedback,9,7,Business & Technology Integration       ,Business Analyst,Technology,Technology Specialization L2,Oracle,Oracle Utilities Apps Framework,0,0
Accenture Technology , Technology Geographic Unit ,New,Client & Market,In Country,Melbourne,Melbourne,Products ,Yes,No,Solution Architect,"-	Has done extensive work with utilizing Accenture Estimation Framework across multiple application streams.  
-	Strong knowledge in Microservice and SOA architecture pattern with best practise knowledge. 
-	Prefer to have worked extensively in the Oracle Fusion Space. 
-	Strong business communication skills, proven experience in the past of presenting technology solution design to key business stakeholders. 
-",2020-02-17T00:00,2021-04-28T00:00,Open - Need Project Feedback,9,7,Solution Architecture                   ,Technology Solution Planning Lead,Technology,Technology Specialization L2,Oracle,Oracle Middleware,0,0
Accenture Technology , Technology Geographic Unit ,New,Client & Market,In Country,Melbourne,Melbourne,Health & Public Service ,Yes,No,Procurement Lead,"Work directly with the client gathering requirements to analyze, design and/or implement technology best practice business changes to technology with business strategy and goals.",2020-05-01T00:00,2020-06-30T00:00,Open - In Process,9,7,Business & Technology Integration       ,Business and Integration Practitioner,Technology,Technology Specialization L2,Oracle,Oracle Cloud SCM,0,0
Resources , RES AAPAC OU ,New,Client & Market,In Country,Brisbane,Sydney,Resources ,Yes,No,Business Process Lead - HSEC,"Work closely with client project teams to provide expertise (functional, technical, industry, tools/methods) to ensure successful solution design and delivery.",2020-02-24T00:00,2020-09-30T00:00,Open - Confirming Candidate,9,7,Industry Solutions & Services           ,Industry Subject Matter Advisor,Technology,Technology Specialization L2,Industry X.0,Service Operations,0,0
Accenture Technology , Technology Geographic Unit ,New,Client & Market,In Country,Sydney,Sydney,Financial Services ,Yes,No,PEGA Architect,"Provide functional and/or technical expertise to plan, analyze, define and support the delivery of future functional and technical capabilities for an application or group of applications. Assist in facilitating impact assessment efforts and in producing and reviewing estimates for client work requests.",2020-02-10T00:00,2020-09-24T00:00,Open - In Process,9,7,Technology Architecture                 ,Application Architect,Technology,Technology Specialization L2,Pegasystems,Pega Platform,0,0
Financial Services , FS AAPAC OU ,New,Client & Market,In Country,Sydney,Sydney,Financial Services ,Yes,No,Legal PM,"Project Manager to support the Legal Stream.
Priorotisation of activities to ensure successful execution across the Legal's Streams Scope",2020-01-23T00:00,2020-03-31T00:00,Open - In Process,9,7,Business & Technology Integration       ,Business Architect,Function,Function Specialization L2,CFO & EV,Financial Risk Management,0,0
Accenture Digital , Accenture Interactive ,New,Client & Market,Any Location Globally,Toronto,San Francisco,"Communications, Media & Technology ",Yes,Yes,Digital Marketing Practitioner,Provide strategic analytics-driven digital strategy consulting to clients to help them create the most innovative customer experience and improve digital marketing or ecommerce effectiveness.,2020-02-17T00:00,2020-07-10T00:00,Open - Need Project Feedback,9,7,Management Consulting                   ,Digital Marketing Practitioner,Technology,Technology Specialization L2,Interactive,Marketing Strat and Services,0,0
Other , Affiliated Companies ,New,Client & Market,In Country,Brisbane,Sydney,Other ,Yes,No,ATO A000223234 Full-Stack Developer,"As a Full Stack Developer, you will develop across the front and back- ends, including developing and integrating services and APIs. In addition, you will be skilled in JS, Angular/React, NodeJS, C#/Java.",2020-02-17T00:00,2020-06-30T00:00,Open - Confirming Candidate,9,8,Software Engineering                    ,Full-Stack Developer,Technology,Technology Specialization L2,Microsoft,Microsoft Data Engineering,0,0
Health & Public Service , H&PS AAPAC OU ,New,Client & Market,In Country,Canberra,Canberra,Health & Public Service ,Yes,No,Security Penetration Tester,"	Execute application, network, systems and infrastructure penetration tests for client with large or complex IT ecosystem
	Evaluate and select from a range of penetration testing tools
	Perform social engineering tests and undertake secure code reviews, where appropriate.
	Prepare high quality reports detailing security issues, making recommendations and identifying solutions.
	Be responsible for the analysis, design, scheduling, construction and delivery of solutions to meet client needs and expectations.
	Maintain and improve testing and service delivery methodologies.
	Must be holding(or being able to hold) an active Baseline security clearance.
	Must have prior experience of working with Australian government agency.",2020-02-24T00:00,2020-08-31T00:00,Open - New,9,8,Security                                ,Application Security Supp Practitioner,Technology,Technology Specialization L2,Security,Cloud Security,0,0
Accenture Strategy , Global Strategy Management ,New,Client & Market,Any Location Globally,Geneva,Geneva,Other ,Yes,No,Consultant,"Consultancy landscape reports on contraceptive innovations, and lifesaving maternal and newborn health innovations
In the context of RMNCAH, Unitaid is seeking services of external qualified contractors to assist with two separate landscape documents: maternal and newborn health (spanning from pregnancy to the first month of life), and/or the contraception. 
Landscape includes: product landscape, disease & health burden, markets, and stakeholders.
The project consultant will support the following activities:
- Evaluate current landscape for focus areas (maternal and newborn health and/or contraception) to develop a high-level background for disease burdens, global landscape, and commodity access
Key skills: Landscape Documents, Technology Landscape, Market Assessment, Research Reports",2020-02-17T00:00,2020-03-27T00:00,Open - Need Project Feedback,9,8,"Program, Project & Service Mgmt         ",Program/Project Manager,Function,Function Specialization L2,Strategy,Growth Strategy,0,0
Accenture Strategy , GU Strategy Practices,New,Client & Market,In Geographic Area,Kuala Lumpur,Kuala Lumpur,Products ,Yes,No,Value Office Support,"Apply deep industry knowledge, differentiated points-of-view and rigorous analytics to shape innovative and pragmatic value propositions, business strategies, operating models and Accenture services that lead to large-scale transformation.",2020-01-15T00:00,2020-03-13T00:00,Open - Need Project Feedback,9,8,Strategy                                ,Business Strategy Analyst,Technology,Technology Specialization L2,Testing,Digital Testing,0,0
Accenture Technology , Advanced Technology Centers ,New,Client & Market,In Country,Melbourne,New York,Products ,Yes,No,Application Developer,"Design, build and integrate Veeva CRM, Event Management, Veeva Alignment applications to meet business process and application requirements.",2020-04-06T00:00,2022-03-31T00:00,Open - Confirming Candidate,9,8,Software Engineering                    ,Application Developer,Technology,Technology Specialization L2,Salesforce,Salesforce Sales,0,0
Accenture Security , Security Practice,New,Client & Market,In Country,Melbourne,Canberra,Health & Public Service ,Yes,No,Security Tech Writer,"Strong written and verbal com skills.
Develop and maintain comprehensive IT and Cybersecurity policies, procedures, strategies, system documentation, and templates in accordance with and to satisfy agency requirements.
Maintain and implement knowledge of IT Infrastructure Library best practices 
Develop memorandums, reports, project plans, performance work statements and briefings as directed.
Provide grammatical and editorial reviews of documents. Experience in the research, preparation, writing, and editing of technical documents 
Expert knowledge of Microsoft Office Suite (Word, PowerPoint, and Visio).
Experience gathering, analyzing, and composing technical information into clear, legible documents to be used by tech and non-tech personnel.
Experience editing documents to ensure grammatical correctness and conducting research to ensure the use of proper technical terminology.
Indust recognized certs relating to IT security (CISSP, GIAC, CEH, TNCP, Security+, Network+, ITIL etc.)",2020-02-17T00:00,2020-06-30T00:00,Open - Confirming Candidate,9,8,Security                                ,Security Specialist,Technology,Technology Specialization L2,Security,Security Strategy,0,0
