"Career Track","Talent Segment","Role Family","Role","Tech Specialty","Org Unit Level 1","Exp Hire Flag","Length-of-Service","Gender","Age of Employee","Strength 1","Strength 2","Strength 3","Strength 4","Strength 5","Strength 6","Strength 7","Strength 8","Strength 9","Strength 10","Strength 11","Strength 12","Strength 13","Strength 14","Strength 15","Strength 16","Strength 17","Strength 18","Strength 19","Strength 20","Strength 21","Strength 22","Strength 23","Strength 24","Strength 25","Strength 26","Strength 27","Strength 28","Strength 29","Strength 30","Strength 31","Strength 32","Strength 33","Strength 34"
"Client Delivery & Operations","IT Operations","Infrastructure Technology Support","Infra Tech Support Manager","Unified Communications","Accenture Operations","No",218,"Male",49,"intellection","belief","focus","significance","input","consistency","individualisation","arranger","strategic","context","woo","includer","futuristic","command","positivity","responsibility","maximiser","developer","connectedness","analytical","discipline","communication","harmony","self-assurance","relator","competition","empathy","achiever","restorative","learner","adaptability","activator","ideation","deliberative"
"Client Delivery & Operations","Business & Technology Integration","Technology Delivery Lead","Technology Delivery Lead Manager","Delivery Lifecycle","Accenture Technology","Yes",60,"Female",33,"positivity","input","individualisation","harmony","woo","maximiser","learner","deliberative","futuristic","focus","consistency","activator","arranger","analytical","self-assurance","ideation","belief","developer","responsibility","adaptability","competition","discipline","relator","communication","empathy","includer","strategic","intellection","command","achiever","context","significance","connectedness","restorative"
"Client Delivery & Operations","Software Engineering","Software Engineering","Software Engineering Sr. Analyst","Application Maintenance","Health & Public Service","No",60,"Female",37,"consistency","futuristic","empathy","includer","woo","learner","arranger","relator","analytical","significance","connectedness","communication","individualisation","achiever","command","discipline","restorative","harmony","intellection","strategic","maximiser","self-assurance","deliberative","context","adaptability","responsibility","activator","ideation","developer","competition","input","belief","positivity","focus"
"Client Delivery & Operations","Infrastructure","Infrastructure Delivery","Infrastructure Delivery Senior Manager","IT Service Excellence","Accenture Operations","Yes",60,"Male",37,"input","discipline","focus","deliberative","analytical","individualisation","activator","positivity","arranger","intellection","communication","futuristic","includer","ideation","relator","restorative","adaptability","strategic","empathy","self-assurance","competition","developer","responsibility","command","consistency","achiever","significance","learner","context","harmony","belief","maximiser","woo","connectedness"
"Client Delivery & Operations","Software Engineering","Advanced Application Engineering","Advanced App Engineering Manager","Oracle Siebel","Accenture Technology","Yes",60,"Male",41,"strategic","deliberative","activator","input","achiever","adaptability","relator","includer","positivity","developer","significance","focus","harmony","consistency","futuristic","responsibility","competition","woo","discipline","individualisation","intellection","command","maximiser","context","empathy","analytical","learner","restorative","belief","connectedness","ideation","arranger","communication","self-assurance"
"Client Delivery & Operations","Business & Technology Integration","Business & Integration Architecture","Business&Integration Arch Assoc Manager","SAP Financial Accntng & Oprtns","Accenture Technology","Yes",72,"Male",36,"harmony","activator","restorative","deliberative","connectedness","communication","input","belief","discipline","woo","self-assurance","maximiser","adaptability","responsibility","intellection","empathy","relator","developer","achiever","context","command","positivity","ideation","arranger","significance","includer","consistency","futuristic","individualisation","strategic","focus","competition","learner","analytical"
"Corporate Function","Finance","Client Financial Management","Client Financial Mgmt Specialist","Delivery","Corporate Functions","Yes",23,"Female",34,"activator","context","harmony","ideation","discipline","analytical","command","futuristic","belief","connectedness","restorative","self-assurance","intellection","significance","achiever","communication","includer","empathy","maximiser","deliberative","developer","responsibility","consistency","competition","woo","input","relator","focus","learner","individualisation","positivity","arranger","adaptability","strategic"
"Client Delivery & Operations","Business Process Specialization","Procurement Operations","Procurement Operations Specialist","Procurement Processing","Accenture Operations","Yes",36,"Male",58,"developer","positivity","command","achiever","maximiser","arranger","significance","communication","ideation","discipline","self-assurance","restorative","intellection","analytical","focus","competition","belief","relator","includer","empathy","connectedness","input","activator","context","responsibility","harmony","consistency","adaptability","learner","strategic","futuristic","deliberative","individualisation","woo"
"Client & Market","Management Consulting","Management Consulting","Management Consulting Senior Manager","Banking Processes","Financial Services","Yes",48,"Female",34,"learner","significance","responsibility","adaptability","includer","maximiser","focus","intellection","analytical","deliberative","arranger","connectedness","discipline","consistency","harmony","relator","individualisation","restorative","empathy","communication","self-assurance","strategic","developer","input","activator","competition","command","context","positivity","achiever","belief","ideation","futuristic","woo"
"Client Delivery & Operations","Business Advisory","Media Management Advisory","Media Management Advisory Specialist","Media Management","Accenture Operations","Yes",60,"Male",29,"developer","includer","maximiser","consistency","harmony","significance","individualisation","self-assurance","communication","responsibility","positivity","woo","connectedness","learner","focus","restorative","context","input","analytical","adaptability","competition","deliberative","futuristic","ideation","relator","empathy","command","strategic","activator","belief","arranger","discipline","achiever","intellection"
"Client & Market","Management Consulting","Management Consulting","Management Consulting Manager","Change Management","Products","No",60,"Male",29,"competition","responsibility","includer","belief","connectedness","strategic","discipline","activator","communication","intellection","context","harmony","positivity","self-assurance","consistency","achiever","futuristic","arranger","relator","learner","individualisation","analytical","adaptability","command","maximiser","restorative","input","woo","developer","focus","empathy","significance","deliberative","ideation"
"Client & Market","Management Consulting","Management Consulting","Management Consulting Manager","No Function Specialty","Products","No",60,"Male",28,"achiever","command","adaptability","positivity","individualisation","communication","belief","arranger","restorative","context","woo","strategic","developer","empathy","significance","analytical","intellection","responsibility","relator","activator","connectedness","ideation","self-assurance","includer","harmony","consistency","input","learner","maximiser","futuristic","discipline","focus","competition","deliberative"
"Client & Market","Management Consulting","Management Consulting","Management Consultant","Change Management","Products","No",60,"Female",28,"developer","ideation","context","futuristic","strategic","activator","input","learner","communication","self-assurance","positivity","responsibility","empathy","command","analytical","significance","harmony","relator","connectedness","arranger","adaptability","restorative","deliberative","intellection","consistency","maximiser","belief","competition","focus","woo","includer","individualisation","achiever","discipline"
"Client & Market","Management Consulting","Management Consulting","Management Consultant","Channel Optimization","Communications, Media & Technology","No",60,"Male",26,"activator","adaptability","connectedness","empathy","context","intellection","developer","arranger","includer","consistency","responsibility","communication","self-assurance","restorative","individualisation","significance","woo","focus","belief","discipline","relator","harmony","maximiser","input","analytical","learner","achiever","command","positivity","deliberative","strategic","competition","futuristic","ideation"
"Corporate Function","Finance","Client Financial Management","Client Financial Mgmt Specialist","Delivery","Corporate Functions","No",60,"Female",40,"relator","deliberative","ideation","adaptability","consistency","belief","learner","includer","context","analytical","positivity","achiever","focus","communication","futuristic","developer","command","intellection","self-assurance","maximiser","significance","responsibility","connectedness","strategic","arranger","harmony","restorative","activator","empathy","woo","input","competition","individualisation","discipline"
"Client Delivery & Operations","Software Engineering","Application Development","Application Development Specialist","Oracle Customer Experience","Accenture Technology","Yes",60,"Male",33,"individualisation","futuristic","context","woo","communication","focus","developer","activator","consistency","deliberative","input","maximiser","connectedness","ideation","restorative","empathy","self-assurance","learner","command","belief","intellection","discipline","includer","relator","competition","significance","arranger","responsibility","harmony","positivity","achiever","strategic","analytical","adaptability"
"Innovation & Thought Leadership","Technology Architecture","Digital Tech Architecture - Innovation","Digital Tech Arch Assoc Principal","Business Intelligence","Accenture Digital","No",96,"Male",30,"analytical","developer","empathy","responsibility","learner","individualisation","woo","positivity","command","intellection","maximiser","communication","self-assurance","connectedness","strategic","deliberative","significance","restorative","context","belief","input","relator","discipline","competition","focus","includer","adaptability","futuristic","consistency","harmony","arranger","ideation","achiever","activator"
"Client & Market","Cloud","Cloud Advisory","Cloud Advisory Manager","Cloud Technologies","Accenture Operations","No",96,"Male",34,"arranger","communication","intellection","deliberative","woo","responsibility","input","self-assurance","command","connectedness","context","includer","learner","developer","focus","consistency","positivity","activator","strategic","restorative","belief","achiever","ideation","adaptability","relator","analytical","harmony","empathy","discipline","maximiser","futuristic","significance","individualisation","competition"
"Client Delivery & Operations","Business & Technology Integration","Technology Delivery Lead","Technology Delivery Lead Senior Manager","Oracle Industry Retail","Accenture Technology","No",169,"Male",36,"activator","strategic","analytical","ideation","relator","command","maximiser","intellection","significance","positivity","connectedness","self-assurance","harmony","consistency","focus","discipline","empathy","deliberative","communication","learner","achiever","arranger","developer","adaptability","futuristic","competition","woo","restorative","individualisation","belief","input","includer","responsibility","context"
"Client & Market","Business & Technology Integration","Technology Consulting","Technology Consulting Senior Manager","Delivery Leadership","Communications, Media & Technology","No",194,"Male",37,"communication","activator","significance","developer","responsibility","analytical","relator","empathy","adaptability","self-assurance","discipline","individualisation","harmony","belief","woo","focus","includer","arranger","restorative","context","deliberative","strategic","command","maximiser","achiever","intellection","input","consistency","competition","connectedness","ideation","positivity","futuristic","learner"
"Client Delivery & Operations","Business & Technology Integration","Business & Integration Architecture","Business&Integration Arch Manager","SAP Arch & Infra & Cloud","Accenture Technology","No",96,"Male",36,"includer","relator","activator","maximiser","competition","discipline","strategic","empathy","harmony","arranger","analytical","context","belief","responsibility","futuristic","adaptability","significance","learner","achiever","positivity","command","ideation","input","developer","self-assurance","communication","intellection","deliberative","connectedness","consistency","individualisation","woo","focus","restorative"
"Client & Market","Business & Technology Integration","Technology Consulting","Technology Consulting Executive","Delivery Lifecycle","Health & Public Service","No",255,"Female",43,"ideation","context","woo","deliberative","self-assurance","connectedness","competition","learner","command","strategic","intellection","includer","positivity","consistency","developer","relator","communication","arranger","input","significance","empathy","futuristic","discipline","restorative","maximiser","focus","activator","analytical","adaptability","individualisation","achiever","belief","harmony","responsibility"
"Client & Market","Management Consulting","Management Consulting","Management Consultant","No Function Specialty","Communications, Media & Technology","No",23,"Female",26,"positivity","developer","self-assurance","command","input","achiever","individualisation","includer","belief","strategic","adaptability","woo","discipline","analytical","ideation","context","empathy","connectedness","communication","restorative","arranger","learner","consistency","relator","competition","significance","maximiser","activator","futuristic","intellection","harmony","focus","responsibility","deliberative"
"Client & Market","Business & Technology Integration","Digital Integration","Digital Business Integration Sr Manager","Enterprise Content Management","Accenture Digital","Yes",36,"Male",50,"focus","belief","connectedness","intellection","empathy","futuristic","responsibility","activator","analytical","developer","learner","harmony","maximiser","restorative","relator","positivity","strategic","individualisation","self-assurance","ideation","achiever","communication","context","discipline","significance","input","includer","woo","adaptability","command","consistency","competition","arranger","deliberative"
"Client Delivery & Operations","Software Engineering","Application Development","Application Development Specialist","Tech Arch","Accenture Technology","Yes",36,"Male",30,"relator","significance","restorative","maximiser","futuristic","input","achiever","learner","strategic","self-assurance","analytical","discipline","communication","positivity","deliberative","includer","individualisation","focus","intellection","consistency","context","activator","competition","ideation","connectedness","woo","developer","adaptability","harmony","empathy","belief","command","responsibility","arranger"
"Client Delivery & Operations","Software Engineering","Application Development","Application Development Specialist","SAP Arch & Infra & Cloud","Accenture Technology","Yes",36,"Male",33,"futuristic","ideation","learner","intellection","individualisation","developer","activator","achiever","context","restorative","consistency","communication","responsibility","strategic","relator","includer","significance","adaptability","input","deliberative","arranger","positivity","command","focus","competition","woo","empathy","connectedness","maximiser","belief","self-assurance","analytical","discipline","harmony"
"Client Delivery & Operations","Business & Technology Integration","Technology Delivery Lead","Technology Delivery Lead Senior Manager","Program Project Mgmt","Accenture Technology","Yes",96,"Male",49,"command","relator","connectedness","harmony","intellection","competition","adaptability","consistency","significance","discipline","positivity","responsibility","individualisation","strategic","learner","belief","deliberative","focus","arranger","developer","context","restorative","communication","empathy","self-assurance","achiever","includer","maximiser","input","woo","analytical","activator","futuristic","ideation"
"Corporate Function","Program, Project & Service Mgmt","Service Management","GS Director","Service Management Operations","Corporate Functions","Yes",96,"Female",46,"ideation","developer","includer","context","empathy","relator","achiever","intellection","woo","deliberative","arranger","connectedness","adaptability","discipline","maximiser","strategic","responsibility","significance","input","self-assurance","individualisation","positivity","analytical","futuristic","activator","communication","command","learner","focus","belief","consistency","restorative","competition","harmony"
"Client Delivery & Operations","Design","Visual Design","Visual Design Manager","Fjord Design & Innovation","Accenture Digital","Yes",23,"Male",43,"discipline","futuristic","arranger","includer","relator","learner","self-assurance","empathy","developer","maximiser","positivity","achiever","input","ideation","consistency","deliberative","context","individualisation","focus","significance","harmony","responsibility","activator","competition","analytical","command","belief","adaptability","strategic","intellection","woo","restorative","connectedness","communication"
"Client Delivery & Operations","Business & Technology Integration","Technology Delivery Lead","Technology Delivery Lead Assoc Manager","Business App Delivery","Accenture Technology","Yes",23,"Male",35,"belief","futuristic","analytical","intellection","positivity","restorative","maximiser","context","competition","harmony","empathy","significance","relator","input","responsibility","arranger","communication","consistency","includer","woo","command","adaptability","focus","discipline","ideation","connectedness","activator","individualisation","self-assurance","achiever","learner","deliberative","developer","strategic"
"Client Delivery & Operations","Business & Technology Integration","Technology Delivery Lead","Technology Delivery Lead Senior Manager","Oracle Cloud Paas","Accenture Technology","Yes",23,"Male",40,"developer","learner","restorative","adaptability","connectedness","communication","context","deliberative","relator","competition","empathy","activator","arranger","intellection","harmony","achiever","individualisation","includer","input","command","analytical","self-assurance","consistency","woo","futuristic","maximiser","belief","responsibility","focus","discipline","ideation","strategic","positivity","significance"
"Client & Market","Business & Technology Integration","Technology Consulting","Technology Consulting Analyst","No Function Specialty","Health & Public Service","No",23,"Male",40,"developer","consistency","positivity","analytical","competition","responsibility","deliberative","learner","connectedness","maximiser","relator","arranger","communication","futuristic","self-assurance","individualisation","harmony","command","includer","strategic","significance","empathy","input","achiever","context","woo","adaptability","belief","restorative","intellection","focus","discipline","ideation","activator"
"Client & Market","Business & Technology Integration","Technology Consulting","Technology Consulting Analyst","No Function Specialty","Resources","No",23,"Male",26,"competition","woo","arranger","focus","learner","strategic","belief","communication","harmony","deliberative","context","analytical","self-assurance","discipline","command","includer","developer","futuristic","restorative","connectedness","input","positivity","consistency","individualisation","activator","ideation","empathy","responsibility","relator","maximiser","significance","intellection","achiever","adaptability"
"Client Delivery & Operations","Software Engineering","Software Engineering","Software Engineering Analyst","Build/Develop Solution","Health & Public Service","No",23,"Female",31,"responsibility","belief","individualisation","focus","restorative","harmony","consistency","activator","deliberative","arranger","includer","strategic","self-assurance","discipline","learner","communication","input","competition","relator","positivity","adaptability","ideation","woo","maximiser","significance","connectedness","intellection","futuristic","achiever","analytical","developer","context","command","empathy"
"Client & Market","Security","Security Consulting","Security Consulting Consultant","Security Consulting & Implemen","Accenture Security","No",23,"Male",26,"intellection","futuristic","input","connectedness","activator","significance","woo","relator","harmony","strategic","ideation","developer","individualisation","belief","communication","focus","command","analytical","arranger","positivity","context","maximiser","empathy","self-assurance","responsibility","consistency","achiever","adaptability","competition","includer","learner","restorative","discipline","deliberative"
"Client Delivery & Operations","Program, Project & Service Mgmt","Program and Project Management","Program & Project Mgmt Analyst","No Function Specialty","Accenture Digital","No",23,"Female",29,"input","woo","consistency","significance","relator","communication","discipline","adaptability","context","deliberative","ideation","achiever","self-assurance","connectedness","maximiser","individualisation","activator","arranger","includer","command","harmony","intellection","developer","analytical","learner","focus","responsibility","belief","strategic","empathy","futuristic","positivity","competition","restorative"
"Client & Market","Management Consulting","Management Consulting","Management Consulting Analyst","No Function Specialty","Communications, Media & Technology","No",23,"Female",24,"responsibility","ideation","command","activator","achiever","woo","communication","competition","arranger","restorative","deliberative","relator","belief","includer","strategic","futuristic","significance","discipline","context","input","maximiser","learner","analytical","empathy","individualisation","adaptability","developer","connectedness","focus","self-assurance","positivity","intellection","consistency","harmony"
"Client & Market","Management Consulting","Management Consulting","Management Consulting Analyst","No Function Specialty","Communications, Media & Technology","No",23,"Male",31,"analytical","restorative","intellection","context","command","arranger","developer","includer","positivity","competition","communication","responsibility","harmony","empathy","ideation","belief","input","deliberative","connectedness","relator","discipline","adaptability","significance","maximiser","consistency","futuristic","achiever","learner","self-assurance","activator","woo","strategic","individualisation","focus"
"Client & Market","Management Consulting","Management Consulting","Management Consulting Analyst","No Function Specialty","Resources","No",23,"Female",25,"connectedness","discipline","consistency","analytical","maximiser","ideation","positivity","harmony","achiever","communication","relator","adaptability","activator","significance","individualisation","learner","futuristic","input","woo","self-assurance","includer","competition","context","empathy","restorative","belief","developer","responsibility","command","intellection","strategic","arranger","deliberative","focus"
"Client & Market","Management Consulting","Management Consulting","Management Consulting Analyst","No Function Specialty","Communications, Media & Technology","No",23,"Male",25,"adaptability","developer","analytical","restorative","communication","futuristic","significance","strategic","discipline","relator","arranger","harmony","woo","positivity","achiever","focus","deliberative","command","consistency","empathy","context","maximiser","ideation","self-assurance","intellection","responsibility","connectedness","individualisation","input","activator","includer","learner","competition","belief"
"Client & Market","Management Consulting","Management Consulting","Management Consulting Analyst","No Function Specialty","Communications, Media & Technology","No",23,"Female",26,"maximiser","strategic","consistency","adaptability","learner","intellection","activator","restorative","positivity","empathy","futuristic","responsibility","connectedness","belief","developer","includer","command","discipline","ideation","competition","achiever","harmony","significance","focus","individualisation","analytical","relator","self-assurance","input","deliberative","woo","communication","arranger","context"
"Client & Market","Management Consulting","Management Consulting","Management Consulting Analyst","No Function Specialty","Communications, Media & Technology","No",23,"Female",23,"belief","learner","restorative","relator","deliberative","responsibility","empathy","achiever","focus","self-assurance","connectedness","arranger","competition","analytical","activator","futuristic","discipline","developer","individualisation","context","input","command","harmony","adaptability","consistency","includer","intellection","ideation","significance","communication","maximiser","positivity","woo","strategic"
"Client & Market","Infrastructure","Infrastructure Consulting","Infrastructure Consulting Analyst","No Function Specialty","Accenture Operations","No",23,"Female",24,"woo","responsibility","self-assurance","maximiser","restorative","discipline","intellection","positivity","belief","significance","includer","analytical","context","strategic","ideation","communication","activator","command","input","consistency","achiever","empathy","competition","arranger","relator","developer","learner","futuristic","focus","adaptability","connectedness","deliberative","individualisation","harmony"
"Corporate Function","Workplace Management & Solutions","Executive Support Services","Executive Support Analyst","Executive Support Svcs","Corporate Functions","No",23,"Female",30,"learner","belief","command","consistency","maximiser","developer","analytical","woo","harmony","significance","ideation","self-assurance","intellection","competition","communication","futuristic","includer","deliberative","focus","achiever","individualisation","strategic","activator","context","restorative","arranger","relator","responsibility","connectedness","input","discipline","adaptability","empathy","positivity"
"Client Delivery & Operations","Software Engineering","Digital Technology Development","Digital Technology Developer Manager","eCommerce Platforms","Accenture Digital","Yes",23,"Male",29,"consistency","deliberative","adaptability","harmony","empathy","focus","competition","learner","relator","self-assurance","maximiser","significance","input","achiever","developer","responsibility","intellection","activator","connectedness","includer","discipline","strategic","futuristic","ideation","woo","context","communication","positivity","command","arranger","belief","analytical","individualisation","restorative"
"Client & Market","Management Consulting","Digital Marketing","Digital Marketing Consultant","No Function Specialty","Accenture Digital","No",23,"Female",25,"belief","individualisation","focus","relator","maximiser","input","analytical","arranger","harmony","communication","competition","deliberative","empathy","restorative","includer","responsibility","achiever","ideation","strategic","positivity","self-assurance","learner","significance","intellection","adaptability","developer","context","futuristic","connectedness","activator","woo","discipline","command","consistency"
"Client Delivery & Operations","Analytics","Data Engineering","Data Engineering Associate Manager","Analytics","Accenture Technology","Yes",23,"Male",35,"empathy","self-assurance","includer","adaptability","command","significance","strategic","connectedness","individualisation","intellection","consistency","input","learner","deliberative","communication","positivity","analytical","futuristic","relator","competition","belief","ideation","harmony","discipline","restorative","achiever","activator","context","woo","maximiser","focus","responsibility","arranger","developer"
"Client Delivery & Operations","Cloud","Cloud Migration & Imp Delivery","Cloud Migration & Imp Delivery Assoc Mgr","Cloud Technologies","Accenture Operations","Yes",23,"Male",31,"strategic","achiever","competition","restorative","consistency","analytical","self-assurance","arranger","significance","focus","includer","adaptability","positivity","harmony","input","learner","developer","maximiser","command","belief","empathy","relator","ideation","deliberative","intellection","individualisation","discipline","woo","communication","activator","connectedness","context","futuristic","responsibility"
"Client Delivery & Operations","Business & Technology Integration","Business & Integration Architecture","Business&Integration Arch Specialist","Salesforce","Accenture Technology","Yes",23,"Female",36,"input","individualisation","discipline","positivity","includer","analytical","consistency","connectedness","responsibility","ideation","restorative","harmony","maximiser","learner","achiever","self-assurance","relator","empathy","adaptability","intellection","developer","belief","futuristic","deliberative","context","communication","woo","command","competition","arranger","activator","significance","focus","strategic"
"Client Delivery & Operations","Software Engineering","Application Development","Application Development Analyst","No Function Specialty","Accenture Technology","No",23,"Female",29,"discipline","individualisation","learner","significance","harmony","strategic","intellection","arranger","woo","futuristic","adaptability","includer","input","relator","deliberative","ideation","competition","activator","belief","context","connectedness","self-assurance","responsibility","achiever","positivity","focus","command","developer","consistency","communication","analytical","maximiser","empathy","restorative"
"Client Delivery & Operations","Software Engineering","Application Development","Application Development Analyst","Technology Architectures","Accenture Technology","No",23,"Male",24,"achiever","woo","competition","strategic","developer","individualisation","connectedness","intellection","significance","discipline","arranger","empathy","relator","ideation","communication","responsibility","self-assurance","focus","learner","deliberative","futuristic","adaptability","analytical","harmony","command","context","positivity","maximiser","consistency","input","includer","belief","restorative","activator"
"Client Delivery & Operations","Software Engineering","Application Development","Application Development Analyst","DevOps","Accenture Technology","No",23,"Female",27,"woo","harmony","self-assurance","activator","belief","responsibility","individualisation","positivity","analytical","intellection","restorative","strategic","arranger","achiever","command","futuristic","significance","connectedness","maximiser","relator","deliberative","learner","input","competition","context","discipline","communication","empathy","developer","ideation","includer","focus","adaptability","consistency"
"Client Delivery & Operations","Software Engineering","Application Development","Application Development Analyst","Test Automation","Accenture Technology","No",23,"Female",27,"harmony","analytical","focus","includer","significance","individualisation","self-assurance","woo","achiever","intellection","ideation","deliberative","adaptability","arranger","responsibility","developer","positivity","activator","context","restorative","connectedness","empathy","learner","competition","input","relator","futuristic","command","strategic","maximiser","communication","consistency","belief","discipline"
"Client Delivery & Operations","Software Engineering","Application Development","Application Development Analyst","No Function Specialty","Accenture Technology","No",23,"Male",26,"input","restorative","competition","discipline","ideation","deliberative","activator","connectedness","harmony","empathy","positivity","self-assurance","focus","woo","intellection","achiever","analytical","context","command","consistency","communication","individualisation","relator","adaptability","belief","strategic","maximiser","arranger","significance","futuristic","includer","learner","responsibility","developer"
"Client Delivery & Operations","Software Engineering","Advanced Application Engineering","Advanced App Engineering Specialist","Accenture DCPP","Accenture Technology","Yes",23,"Male",29,"empathy","learner","strategic","ideation","maximiser","context","activator","significance","includer","responsibility","futuristic","deliberative","harmony","individualisation","input","self-assurance","command","adaptability","competition","restorative","communication","woo","focus","achiever","developer","analytical","discipline","arranger","intellection","positivity","consistency","relator","connectedness","belief"
"Client Delivery & Operations","Software Engineering","Test Architecture Engineering","Test Architecture Eng Associate Manager","Oracle Siebel","Accenture Technology","Yes",133,"Male",40,"belief","achiever","restorative","developer","learner","maximiser","arranger","deliberative","empathy","intellection","context","input","responsibility","discipline","significance","ideation","harmony","analytical","communication","connectedness","self-assurance","focus","consistency","strategic","activator","command","adaptability","positivity","competition","individualisation","futuristic","relator","woo","includer"
"Client Delivery & Operations","Technology Architecture","Technology Architecture Delivery","Tech Architecture Delivery Manager","Technology Architectures","Accenture Technology","No",133,"Male",37,"consistency","arranger","responsibility","competition","activator","discipline","harmony","significance","deliberative","positivity","ideation","strategic","empathy","futuristic","connectedness","communication","learner","developer","analytical","includer","maximiser","individualisation","intellection","achiever","relator","self-assurance","restorative","woo","input","focus","adaptability","belief","context","command"
"Client Delivery & Operations","Software Engineering","Test Architecture Engineering","Test Architecture Eng Manager","Test Strategy and Management","Accenture Technology","No",170,"Female",38,"includer","learner","competition","achiever","woo","individualisation","analytical","consistency","futuristic","self-assurance","intellection","discipline","context","communication","focus","deliberative","ideation","developer","belief","adaptability","empathy","arranger","relator","maximiser","connectedness","restorative","responsibility","significance","input","command","strategic","positivity","activator","harmony"
"Client Delivery & Operations","Business & Technology Integration","Technology Practice Builder","Technology Practice Builder Assoc Dir","SAP UI & Mobility Architecture","Accenture Technology","No",170,"Male",36,"includer","focus","connectedness","intellection","input","learner","activator","discipline","empathy","command","competition","adaptability","individualisation","arranger","harmony","woo","ideation","positivity","context","consistency","achiever","futuristic","relator","responsibility","developer","maximiser","communication","strategic","significance","belief","analytical","self-assurance","restorative","deliberative"
"Client Delivery & Operations","Program, Project & Service Mgmt","Program and Project Management","Program & Project Mgmt Manager","Program Project Mgmt","Accenture Technology","No",170,"Female",38,"arranger","communication","learner","futuristic","includer","restorative","harmony","developer","activator","context","maximiser","self-assurance","discipline","ideation","achiever","adaptability","analytical","positivity","consistency","input","belief","deliberative","relator","focus","strategic","woo","competition","command","responsibility","empathy","connectedness","intellection","individualisation","significance"
"Client & Market","Management Consulting","Management Consulting","Management Consulting Senior Manager","Blockchain","Financial Services","No",170,"Male",36,"deliberative","developer","activator","adaptability","significance","empathy","analytical","futuristic","intellection","restorative","connectedness","command","individualisation","communication","focus","achiever","belief","responsibility","input","includer","maximiser","ideation","self-assurance","strategic","relator","consistency","learner","discipline","competition","context","harmony","woo","arranger","positivity"
"Innovation & Thought Leadership","Solution Architecture","Digital Solution Architecture-Innovation","Digital Solution Arch Executive","Enterprise Content Management","Accenture Digital","No",170,"Male",40,"command","activator","consistency","positivity","achiever","includer","adaptability","input","harmony","competition","strategic","maximiser","arranger","analytical","futuristic","individualisation","significance","learner","woo","developer","empathy","relator","belief","focus","restorative","self-assurance","context","intellection","connectedness","deliberative","communication","responsibility","discipline","ideation"
"Corporate Function","Workplace Management & Solutions","Travel Management","Travel Management Senior Manager","Travel","Corporate Functions","No",230,"Female",45,"context","input","consistency","responsibility","command","significance","intellection","focus","self-assurance","communication","achiever","woo","analytical","relator","ideation","maximiser","arranger","empathy","includer","connectedness","positivity","belief","activator","harmony","deliberative","discipline","adaptability","futuristic","restorative","learner","individualisation","developer","strategic","competition"
"Client & Market","Industry Solutions & Services","Industry Solns & Svcs","Industry Solns & Svcs Senior Manager","Industry Strategy","Health & Public Service","No",230,"Male",54,"achiever","connectedness","restorative","intellection","strategic","harmony","analytical","positivity","ideation","competition","activator","self-assurance","consistency","significance","arranger","woo","adaptability","discipline","deliberative","belief","input","futuristic","relator","developer","responsibility","context","command","learner","maximiser","includer","individualisation","communication","empathy","focus"
"Client & Market","Business & Technology Integration","Technology Consulting","Technology Consulting Executive","No Function Specialty","Communications, Media & Technology","Yes",12,"Male",43,"arranger","input","developer","empathy","maximiser","harmony","intellection","focus","adaptability","significance","command","consistency","achiever","activator","belief","positivity","responsibility","woo","ideation","futuristic","communication","strategic","individualisation","discipline","competition","analytical","includer","self-assurance","learner","deliberative","relator","connectedness","restorative","context"
"Client Delivery & Operations","Software Engineering","Application Development","Application Development Specialist","Microsoft Web Development","Accenture Technology","Yes",24,"Male",30,"communication","deliberative","includer","analytical","harmony","input","ideation","individualisation","significance","restorative","discipline","relator","positivity","focus","intellection","competition","command","developer","activator","strategic","responsibility","self-assurance","arranger","futuristic","adaptability","connectedness","belief","achiever","consistency","learner","context","woo","maximiser","empathy"
"Client Delivery & Operations","Software Engineering","Application Development","Application Development Specialist","Java App Design & Architecture","Accenture Technology","Yes",60,"Male",35,"connectedness","context","deliberative","competition","maximiser","learner","futuristic","self-assurance","intellection","activator","ideation","arranger","command","significance","responsibility","communication","strategic","consistency","restorative","developer","focus","analytical","woo","adaptability","input","belief","includer","individualisation","positivity","relator","harmony","empathy","discipline","achiever"
"Client Delivery & Operations","Management Consulting","Management Consulting Delivery","MC Delivery Senior Manager","Learning & Collaboration","Health & Public Service","Yes",97,"Female",51,"adaptability","communication","connectedness","belief","futuristic","arranger","discipline","context","empathy","ideation","focus","input","analytical","restorative","relator","intellection","strategic","self-assurance","achiever","woo","includer","maximiser","significance","consistency","individualisation","command","learner","harmony","developer","competition","responsibility","positivity","deliberative","activator"
"Client Delivery & Operations","Business & Technology Integration","Business & Integration Architecture","Business&Integration Arch Specialist","SAP for Utilities","Accenture Technology","No",109,"Male",31,"input","developer","context","includer","achiever","woo","adaptability","deliberative","maximiser","command","strategic","analytical","individualisation","competition","positivity","discipline","consistency","self-assurance","focus","harmony","communication","empathy","futuristic","significance","responsibility","ideation","intellection","learner","arranger","restorative","relator","connectedness","belief","activator"
